Nom,Arrondissement,Cle,Date,Ouvert,Deblaye,Condition,Id,Type,Adresse,Propriété,Gestion,Point_x,Point_y,Equipement,Longitude,Latitude,Arrose,resurface
"AIre de glissade, Parc Henri-Bourassa ()",Montréal-Nord,,2022-03-16 05:30:58,None,0,,,,,,,,,,,,0,0
"Aire de glissade, Parc Pilon ()",Montréal-Nord,,2022-03-16 05:30:58,None,0,,,,,,,,,,,,0,0
"Aire de glissade, Parc Sauvé ()",Montréal-Nord,,2022-03-16 05:30:58,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes , parc Charleroi (PSE)",Montréal-Nord,,2022-03-16 05:30:58,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes , parc Oscar (PSE)",Montréal-Nord,,2022-03-16 05:30:58,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes , parc Sauvé (PSE)",Montréal-Nord,,2022-03-16 05:30:58,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre , parc Le Carignan (PPL)",Montréal-Nord,,2022-03-16 05:30:58,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre , parc Sauvé (PPL)",Montréal-Nord,,2022-03-16 05:30:58,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, parc Charleroi (PPL)",Montréal-Nord,,2022-03-16 05:30:58,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, parc Lacordaire (PPL)",Montréal-Nord,,2022-03-16 05:30:58,None,0,,,,,,,,,,,,0,0
"Patinoire réfrigérée,Bleu Blanc Bouge Le Carignan (PSE)",Montréal-Nord,,2022-03-14 09:16:06,1,1,,,,,,,,,,,,1,1
"Glissade, Parc Beaubien ()",Outremont,,2022-03-11 10:19:47,1,0,,,,,,,,,,,,0,0
"Grande patinoire de hockey, Parc Beaubien (PSE)",Outremont,,2022-03-11 10:19:47,None,0,,,,,,,,,,,,0,0
"Patinoire de hockey et patin libre, Parc Pratt (PPL)",Outremont,,2022-03-11 10:19:47,None,0,,,,,,,,,,,,0,0
"Patinoire de hockey, Parc Oakwood (PPL)",Outremont,,2022-03-11 10:19:47,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, Parc Jacques-Parizeau (PPL)",Outremont,,2022-03-11 10:19:47,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, Parc Saint-Viateur (PP)",Outremont,,2022-03-11 10:19:47,None,0,,,,,,,,,,,,0,0
"Petite patinoire de hockey, Parc Beaubien (PSE)",Outremont,,2022-03-07 08:59:20,None,None,,,,,,,,,,,,None,None
"Patinoire avec bande, Parc Grier (PSE)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes Nord, Parc de Roxboro (PSE)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes Sud, Parc de Roxboro (PSE)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, Parc Alexander (PSE)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, Parc Brook (PSE)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, Parc d'À-Ma-Baie (PSE)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, Parc de la Rive-Boisée (PSE)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre Est, Parc Brook (PPL)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre Ouest, Parc Brook (PPL)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre Sud, Parc Alexander (PPL)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre sentier, Parc Grier (PPL)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Parc Grier (PPL)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Parc d'À-Ma-Baie (PPL)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Parc de Roxboro (PPL)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Parc de la Rive-Boisée (PPL)",Pierrefonds - Roxboro,,2022-03-11 10:43:47,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Terrain de la mairie (PPL)",Pierrefonds - Roxboro,,2022-03-10 18:04:39,None,None,,,,,,,,,,,,None,None
"Aire de glissade ,Don-Bosco ()",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,None,0,,,,,,,,,,,,0,0
"Aire de glissade,Saint-Jean-Baptiste ()",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,None,0,,,,,,,,,,,,0,0
"Aire de glissade,Saint-Joseph ()",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes, C-de-la-Rousselière (PSE)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,1,1
"Patinoire avec bandes, Daniel-Johnson (PSE)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,1,1
"Patinoire avec bandes, Des Cageux (PSE)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,1,1
"Patinoire avec bandes, Don-Bosco (PSE)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,1,1
"Patinoire avec bandes, Gérard-Vaillancourt (PSE)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,None,None
"Patinoire avec bandes, Jeanne-Lapierre (PSE)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, Pehr-Kalm (PSE)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,1,1
"Patinoire avec bandes, Pierre-Blanchet (PSE)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,None,None
"Patinoire avec bandes, Saint-Jean-Baptiste (PSE)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,1,1
"Patinoire avec bandes, Sainte-Maria-Goretti (PSE)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,None,None
"Patinoire de patin libre, C-de-la-Rousselière (PPL)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Des Cageux (PPL)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,1,1
"Patinoire de patin libre, Don-Bosco (PPL)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,None,None
"Patinoire de patin libre, Gérard-Vaillancourt (PPL)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Marie-Claire-Daveluy (PPL)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Montmartre (PPL)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Saint-Jean-Baptiste (PPL)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,None,None
"Patinoire de patin libre, Sainte-Maria-Goretti (PPL)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Y-Thériault/Sherbrooke (PPL)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,None,None
"Patinoire décorative, Daniel-Johnson (PP)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,1,,,,,,,,,,,,1,1
"Patinoire décorative, Maison du citoyen (PP)",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-04 03:47:41,1,None,,,,,,,,,,,,None,None
"Sentier de ski de fond,De la Traversée ()",Rivière-des-Prairies - Pointe-aux-Trembles,,2022-03-03 03:38:16,None,0,,,,,,,,,,,,0,0
"Aire de glissade, Du Pélican ()",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,0,,,,,,,,,,,,0,0
"Aire de glissade, Joseph-Paré ()",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,0,,,,,,,,,,,,0,0
"Aire de glissade, Parc Lafond ()",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,0,,,,,,,,,,,,0,0
"Aire de glissage, Parc Père-Marquette ()",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes Nord, Beaubien (PSE)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes Sud, Beaubien (PSE)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, Cité-Jardin (PSE)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, De Gaspé (PSE)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, De la Louisiane (PSE)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, Lafond (PSE)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, Père-Marquette (PSE)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, Rosemont (PSE)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire avec bandes, Sainte-Bernadette (PSE)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Beaubien (PPL)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Cité-Jardin (PPL)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, De la Louisiane (PPL)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Du Pélican (PPL)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Joseph-Paré (PPL)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Lafond (PPL)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Père-Marquette (PPL)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire de patin libre, Sainte-Bernadette (PPL)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire décorative, De la Petite-Italie (PP)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire décorative, Maisonneuve (PP)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Patinoire décorative, Molson (PP)",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,None,,,,,,,,,,,,None,None
"Sentier de marche, Maisonneuve ()",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,0,,,,,,,,,,,,0,0
"Sentier de ski de fond, Jardin Botanique ()",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,0,,,,,,,,,,,,0,0
"Sentier de ski de fond, Maisonneuve ()",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,0,,,,,,,,,,,,0,0
"Sentier de ski de fond, Réseau vert ()",Rosemont - La Petite-Patrie,,2022-03-18 18:39:14,None,0,,,,,,,,,,,,0,0
"Sentier de ski pas de patins, Maisonneuve ()",Rosemont - La Petite-Patrie,,2022-03-13 16:51:43,1,0,,,,,,,,,,,,0,0
"Glissade, Parc Hartenstein ()",Saint-Laurent,,2022-03-05 05:55:27,0,0,,,,,,,,,,,,0,0
"Glissade, Parc Philippe-Laheurte ()",Saint-Laurent,,2022-03-05 05:55:27,0,0,,,,,,,,,,,,0,0
"Glissade, Parc Saint-Laurent ()",Saint-Laurent,,2022-03-05 05:55:27,0,0,,,,,,,,,,,,0,0
"Glissade, Parc du Bois-Franc ()",Saint-Laurent,,2022-03-05 05:55:27,0,0,,,,,,,,,,,,0,0
"Patinoire extérieure , Parc Cousineau (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure , Parc Gohier (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure , Parc Houde (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure , Parc Marcel-Laurin (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure , Parc Noël-Nord (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure , Parc Painter (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure , Parc Petit (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure , Parc Poirier (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure, Parc Beaulac (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure, Parc Chamberland (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure, Parc Decelles (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire extérieure, Parc Philippe-Laheurte (PPL)",Saint-Laurent,,2022-03-05 05:55:27,1,None,,,,,,,,,,,,None,None
"Patinoire extérieure, Parc du Bois-Franc (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Patinoire sport d'équipe, Parc Decelle (PSE)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Rond de glace , Parc Beaulac (PP)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Rond de glace , Parc Chamberland (PP)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Rond de glace , Parc Cousineau (PP)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Rond de glace , Parc Houde (PP)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Rond de glace , Parc Noël-Nord (PP)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Rond de glace , Parc Painter (PPL)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Rond de glace , Parc Petit (PP)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Rond de glace, Parc Gohier (PP)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Rond de glace, Parc Hartenstein (PP)",Saint-Laurent,,2022-03-05 05:55:27,1,None,,,,,,,,,,,,None,None
"Rond de glace, Parc Saint-Laurent (PP)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Rond de glace, Parc du Bois-Franc (PPL)",Saint-Laurent,,2022-03-05 05:55:27,1,1,,,,,,,,,,,,None,None
"Sentier de glace, Parc Beaudet (PP)",Saint-Laurent,,2022-03-04 07:15:39,1,1,,,,,,,,,,,,None,None
"Aire de glissade, parc Coubertin ()",Saint-Léonard,,2022-02-24 06:43:20,1,0,,,,,,,,,,,,0,0
"Aire de glissade, parc Delorme ()",Saint-Léonard,,2022-02-24 06:43:20,1,0,,,,,,,,,,,,0,0
"Aire de glissade, parc Ferland ()",Saint-Léonard,,2022-02-24 06:43:20,1,0,,,,,,,,,,,,0,0
"Anneau de glace, C.C.S.L. (PPL)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Anneau de glace, parc Laurier-MacDonald (PPL)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Patinoire avec bandes, parc Delorme (PSE)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Patinoire avec bandes, parc Ferland (PSE)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Patinoire avec bandes, parc Ladauversière (PSE)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Patinoire avec bandes, parc Pie-XII (PSE)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Patinoire de patin libre, parc Giuseppe-Garibaldi (PPL)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Patinoire de patin libre, parc Ladauversière (PPL)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Patinoire extérieure, parc Ermanno-La Riccia (PPL)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Patinoire sans bande, C.S.S.L (PPL)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Patinoire sans bande, parc Luigi-Pirandello (PPL)",Saint-Léonard,,2022-02-24 06:43:20,None,1,,,,,,,,,,,,1,1
"Sentier de ski de fond, parc Delorme ()",Saint-Léonard,,2022-02-24 06:43:20,1,0,,,,,,,,,,,,0,0
"Sentier de ski de fond, parc Ermano-La Riccia ()",Saint-Léonard,,2022-02-24 06:43:20,1,0,,,,,,,,,,,,0,0
"Sentier de ski de fond, parc Giuseppe-Garibaldi ()",Saint-Léonard,,2022-02-21 12:35:34,1,0,,,,,,,,,,,,0,0
"Glissade, Parc Arthur-Therrien ()",Verdun,,2022-03-12 10:17:18,1,0,,,,,,,,,,,,0,0
"Glissade, Parc West-Vancouver ()",Verdun,,2022-03-12 10:17:18,1,0,,,,,,,,,,,,0,0
"Patinoire Bleu Blanc Bouge, Parc Willibrord (PSE)",Verdun,,2022-03-12 10:17:18,1,1,,,,,,,,,,,,1,1
"Patinoire décorative, Parc Beurling (PP)",Verdun,,2022-03-12 10:17:18,None,None,,,,,,,,,,,,None,None
"Patinoire décorative, Parc Duquette (PSE)",Verdun,,2022-03-12 10:17:18,None,None,,,,,,,,,,,,None,None
"Patinoire décorative, Parc Elgar (PP)",Verdun,,2022-03-12 10:17:18,None,None,,,,,,,,,,,,None,None
"Patinoire décorative, Parc Willibrord (PP)",Verdun,,2022-03-12 10:17:18,None,None,,,,,,,,,,,,None,None
"Patinoire décorative, Parc de la Fontaine (PP)",Verdun,,2022-03-12 10:17:18,None,None,,,,,,,,,,,,None,None
"Patinoire décorative, Reine-Elisabeth (PP)",Verdun,,2022-03-12 10:17:18,None,None,,,,,,,,,,,,None,None
"Patinoire à bandes, Parc Beurling (PSE)",Verdun,,2022-03-12 10:17:18,None,None,,,,,,,,,,,,None,None
"Patinoire à bandes, Parc Elgar (PSE)",Verdun,,2022-03-12 10:17:18,None,None,,,,,,,,,,,,None,None
"Patinoire à bandes, Parc de la Fontaine (PSE)",Verdun,,2022-03-12 10:17:18,None,None,,,,,,,,,,,,None,None
"Patinoire à bandes, Reine-Elisabeth (PSE)",Verdun,,2022-03-12 10:17:18,None,None,,,,,,,,,,,,None,None
"Sentier de ski de fond, Berges de Verdun ()",Verdun,,2022-03-10 14:33:37,1,0,,,,,,,,,,,,0,0
"Aire de glissade, Mont-Royal ()",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Patinoire avec bandes, Des Vétérans (PSE)",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Patinoire avec bandes, Toussaint-Louverture (PSE)",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Patinoire avec bandes, Walter-Stewart (PSE)",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, Walter-Stewart (PPL)",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Patinoire décorative, Toussaint-Louverture (PP)",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Patinoire décorative, du Glacis (PP)",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Patinoire réfrigérée, Esplanade Tranquille (PP)",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Patinoire réfrigérée, Lac aux Castors , (PP)",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Patinoire réfrigérée, Square Cabot (PP)",Ville-Marie,,2022-03-16 15:37:30,None,None,,,,,,,,,,,,None,None
"Patinoire sans bandes, Des Faubourgs (PPL)",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Sentier de ski de randonnée, Mont-Royal ()",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Sentier de ski de randonnées, Des Faubourgs ()",Ville-Marie,,2022-03-16 15:37:30,0,0,,,,,,,,,,,,0,0
"Sentier de ski de randonnées, Médéric-Martin ()",Ville-Marie,,2022-03-15 11:26:46,0,0,,,,,,,,,,,,0,0
"Aire de glissade, Parc Jarry ()",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,0,0,,,,,,,,,,,,0,0
"Patinoire avec bandes - Nord, Villeray (PSE)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes - Sud, Villeray (PSE)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes nord, Jarry (PSE)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes sud, Jarry (PSE)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes, Champdoré (PSE)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes, George-Vernot (PSE)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire avec bandes, Nicolas-Tillemont (PSE)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre étang , Jarry (PPL)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, De Normanville (PPL)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, George-Vernot (PPL)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, Howard (PPL)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, Le Prévost (PPL)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, Nicolas-Tillemont (PPL)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire de patin libre, Ovila-Légaré (PP)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire décorative, François-Perrault (PPL)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,None,0,,,,,,,,,,,,0,0
"Patinoire réfrigérée, Bleu Blanc Bouge F-Perrault (PSE)",Villeray-Saint-Michel - Parc-Extension,,2022-03-13 07:44:55,1,1,,,,,,,,,,,,None,1
"Piste de ski de fond , Parc Jarry ()",Villeray-Saint-Michel - Parc-Extension,,2022-03-12 08:53:47,0,0,,,,,,,,,,,,0,0
